12:37:15.950 [main] INFO  c.a.s.k.s.auto.AutoscalingController - Starting Kinesis Autoscaling Agent
12:37:16.665 [main] INFO  c.a.s.k.s.a.AutoscalingConfiguration - Loaded Configuration local /home/ubuntu/config.json
12:37:16.941 [main] INFO  c.a.s.k.s.auto.AutoscalingController - AutoscalingController creating Stream Monitor for Stream in_stream
12:37:20.595 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Started Stream Monitor for in_stream
12:37:21.119 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Using Stream Scaler Version .9.8.0
12:37:28.589 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 0.00% (0 Bytes of 1048576)
12:37:28.670 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 0.00% (0 Records of 1000)
12:37:28.670 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Bytes] due to higher utilisation metric 0.00%
12:37:28.790 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 0.00% (0 Bytes of 2097152)
12:37:28.790 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 0.00% (0 Records of 2000)
12:37:28.791 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Bytes] due to higher utilisation metric 0.00%
12:37:29.039 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Requesting Scale Down of Stream in_stream by 1 as [PUT, GET] has been below 30% for 5 Minutes
12:37:29.039 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Stream in_stream: Not Scaling Down - Already at Minimum of 1 Shard
12:37:29.039 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
12:42:32.715 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 6.05% (63,428 Bytes of 1048576)
12:42:32.716 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 92.41% (881 Records of 1000)
12:42:32.716 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 92.41%
12:42:32.717 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.41% (37,607 Bytes of 2097152)
12:42:32.717 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 46.25% (881 Records of 2000)
12:42:32.758 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 46.25%
12:42:33.579 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
12:42:34.809 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
12:47:37.697 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 6.80% (70,944 Bytes of 1048576)
12:47:37.901 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 99.72% (994 Records of 1000)
12:47:37.985 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 99.72%
12:47:38.023 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 3.40% (72,317 Bytes of 2097152)
12:47:38.024 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 49.59% (975 Records of 2000)
12:47:38.024 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 49.59%
12:47:38.899 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Requesting Scale Up of Stream in_stream by 1 as [PUT, GET] has been above 80% for 5 Minutes
12:47:38.900 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Updating Stream in_stream Shard Count to 2
12:47:39.848 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Waiting for Stream to transition back to Active Status
12:48:04.973 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
12:53:06.078 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 7.01% (69,062 Bytes of 1048576)
12:53:06.119 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 106.46% (1,094 Records of 1000)
12:53:06.119 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 106.46%
12:53:06.120 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 4.36% (85,145 Bytes of 2097152)
12:53:06.198 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 61.99% (1,356 Records of 2000)
12:53:06.200 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 61.99%
12:53:06.491 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Stream in_stream: Deferring Scale Up until Cool Off Period of 10 Minutes has elapsed
12:53:06.531 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
12:58:06.668 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 4.87% (101,944 Bytes of 2097152)
12:58:06.670 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 72.61% (1,472 Records of 2000)
12:58:06.672 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 72.61%
12:58:06.672 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.47% (104,717 Bytes of 4194304)
12:58:06.680 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 35.98% (1,424 Records of 4000)
12:58:06.680 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 35.98%
12:58:06.732 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
12:58:07.213 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:03:07.336 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 5.29% (99,977 Bytes of 2097152)
13:03:07.339 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 76.06% (1,386 Records of 2000)
13:03:07.339 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 76.06%
13:03:07.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.83% (123,164 Bytes of 4194304)
13:03:07.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 41.02% (1,657 Records of 4000)
13:03:07.343 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 41.02%
13:03:07.388 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:03:07.408 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:08:07.521 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 6.19% (131,148 Bytes of 2097152)
13:08:07.528 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 90.17% (1,822 Records of 2000)
13:08:07.529 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 90.17%
13:08:07.530 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.98% (131,912 Bytes of 4194304)
13:08:07.530 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 44.07% (1,792 Records of 4000)
13:08:07.530 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 44.07%
13:08:07.579 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Requesting Scale Up of Stream in_stream by 1 as [PUT, GET] has been above 80% for 5 Minutes
13:08:07.581 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Updating Stream in_stream Shard Count to 3
13:08:07.650 [pool-1-thread-1] INFO  c.a.s.kinesis.scaling.StreamScaler - Waiting for Stream to transition back to Active Status
13:08:36.960 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:13:37.065 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 6.38% (130,546 Bytes of 2097152)
13:13:37.067 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 92.95% (1,902 Records of 2000)
13:13:37.067 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 92.95%
13:13:37.069 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 3.45% (161,455 Bytes of 4194304)
13:13:37.070 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 40.68% (1,773 Records of 4000)
13:13:37.075 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 40.68%
13:13:37.130 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Stream in_stream: Deferring Scale Up until Cool Off Period of 10 Minutes has elapsed
13:13:37.142 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
13:18:37.321 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used PUT[Bytes] Capacity ~ 4.67% (147,682 Bytes of 3145728)
13:18:37.322 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used PUT[Records] Capacity ~ 67.79% (2,057 Records of 3000)
13:18:37.322 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric PUT[Records] due to higher utilisation metric 67.79%
13:18:37.322 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Bytes: Stream in_stream Used GET[Bytes] Capacity ~ 2.36% (147,917 Bytes of 6291456)
13:18:37.323 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Records: Stream in_stream Used GET[Records] Capacity ~ 34.43% (2,054 Records of 6000)
13:18:37.324 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Will decide scaling action based on metric GET[Records] due to higher utilisation metric 34.43%
13:18:37.363 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - No Scaling required - Stream capacity within specified tolerances
13:18:37.387 [pool-1-thread-1] INFO  c.a.s.k.scaling.auto.StreamMonitor - Next Check Cycle in 300 seconds
